NeuralNet(
  (network): Sequential(
    (0): Linear(in_features=3, out_features=96, bias=True)
    (1): Tanh()
    (2): Linear(in_features=96, out_features=96, bias=True)
    (3): Tanh()
    (4): Linear(in_features=96, out_features=96, bias=True)
    (5): Tanh()
    (6): Linear(in_features=96, out_features=96, bias=True)
    (7): Tanh()
    (8): Linear(in_features=96, out_features=96, bias=True)
    (9): Tanh()
    (10): Linear(in_features=96, out_features=96, bias=True)
    (11): Tanh()
    (12): Linear(in_features=96, out_features=3, bias=True)
  )
)
starting Adam training
It: 2900, Time: 12.28, mse_0: 1.1576e-01, mse_f: 3.7050e+00, total loss: 3.8970e+00, Error u,v,p: 9.4570e-01 9.5807e-01 1.9317e-01
It: 3000, Time: 12.15, mse_0: 1.2823e-01, mse_f: 3.4912e+00, total loss: 3.6993e+00, Error u,v,p: 9.3942e-01 9.4404e-01 1.8842e-01
It: 3100, Time: 12.16, mse_0: 1.3854e-01, mse_f: 3.4382e+00, total loss: 3.6778e+00, Error u,v,p: 9.2193e-01 9.2838e-01 1.8275e-01
It: 3200, Time: 12.20, mse_0: 1.4364e-01, mse_f: 3.2603e+00, total loss: 3.4979e+00, Error u,v,p: 9.0063e-01 9.0557e-01 1.8896e-01
It: 3300, Time: 12.38, mse_0: 1.5533e-01, mse_f: 2.9692e+00, total loss: 3.2089e+00, Error u,v,p: 8.7941e-01 8.9131e-01 1.7470e-01
It: 3400, Time: 12.49, mse_0: 1.6064e-01, mse_f: 2.8890e+00, total loss: 3.1343e+00, Error u,v,p: 8.5690e-01 8.6603e-01 1.7925e-01
It: 3500, Time: 12.43, mse_0: 1.5771e-01, mse_f: 2.7512e+00, total loss: 2.9908e+00, Error u,v,p: 8.2928e-01 8.4110e-01 1.8099e-01
It: 3600, Time: 12.35, mse_0: 1.5047e-01, mse_f: 2.5524e+00, total loss: 2.7757e+00, Error u,v,p: 8.0046e-01 8.0833e-01 1.6289e-01
It: 3700, Time: 12.12, mse_0: 1.4387e-01, mse_f: 2.6001e+00, total loss: 2.8425e+00, Error u,v,p: 7.7211e-01 7.8112e-01 1.5874e-01
It: 3800, Time: 12.35, mse_0: 1.3561e-01, mse_f: 2.3912e+00, total loss: 2.6060e+00, Error u,v,p: 7.4433e-01 7.3797e-01 1.6027e-01
It: 3900, Time: 12.29, mse_0: 1.3144e-01, mse_f: 2.3519e+00, total loss: 2.5920e+00, Error u,v,p: 7.1868e-01 7.0820e-01 1.6340e-01
It: 4000, Time: 12.24, mse_0: 1.2577e-01, mse_f: 2.0598e+00, total loss: 2.2589e+00, Error u,v,p: 6.8760e-01 6.7748e-01 1.5776e-01
It: 4100, Time: 12.41, mse_0: 1.2056e-01, mse_f: 1.9645e+00, total loss: 2.1587e+00, Error u,v,p: 6.6726e-01 6.5184e-01 1.5583e-01
